[21-50:48]	[INFO]	 Server started
[21-51:14]	[INFO]	 Server started
[21-52:23]	[INFO]	 Server started
[21-52:45]	[INFO]	 Server started
[21-54:32]	[INFO]	 Server started
[21-55:36]	[INFO]	 Server started
[21-56:00]	[INFO]	 Server started
[21-56:00]	[INFO]	 Files: 

[21-56:00]	[INFO]	 ..

[21-56:00]	[INFO]	 .

[21-56:00]	[INFO]	 Server is listening for connections
[21-56:00]	[INFO]	 Server listening on address: 127.0.0.1 port: 8000
[21-58:03]	[INFO]	 Total packets received: 0
[21-58:03]	[INFO]	 File received and saved successfully
[21-59:39]	[INFO]	 Server started
[21-59:39]	[INFO]	 Files: 

[21-59:39]	[INFO]	 ..

[21-59:39]	[INFO]	 .

[21-59:39]	[INFO]	 Server is listening for connections
[21-59:39]	[INFO]	 Server listening on address: 127.0.0.1 port: 8000
[22-00:31]	[INFO]	 Total packets received: 0
[22-00:31]	[INFO]	 File received and saved successfully
[22-02:50]	[INFO]	 Server started
[22-02:50]	[INFO]	 Files: 

[22-02:50]	[INFO]	 ..

[22-02:50]	[INFO]	 .

[22-02:50]	[INFO]	 Server is listening for connections
[22-02:50]	[INFO]	 Server listening on address: 127.0.0.1 port: 8000
[22-03:32]	[INFO]	 Total packets received: 0
[22-03:32]	[INFO]	 File received and saved successfully
[22-06:03]	[INFO]	 Server started
[22-06:03]	[INFO]	 Files: 

[22-06:03]	[INFO]	 ..

[22-06:03]	[INFO]	 .

[22-06:03]	[INFO]	 Server is listening for connections
[22-06:03]	[INFO]	 Server listening on address: 127.0.0.1 port: 8000
[22-06:27]	[INFO]	 Total packets received: 0
[22-06:27]	[INFO]	 File received and saved successfully
[22-06:51]	[INFO]	 Server started
[22-06:51]	[INFO]	 Files: 

[22-06:51]	[INFO]	 ..

[22-06:51]	[INFO]	 .

[22-06:51]	[INFO]	 Server is listening for connections
[22-06:51]	[INFO]	 Server listening on address: 127.0.0.1 port: 8000
[22-09:07]	[INFO]	 Server started
[22-09:07]	[INFO]	 Files: 

[22-09:07]	[INFO]	 ..

[22-09:07]	[INFO]	 .

[22-09:07]	[INFO]	 Server is listening for connections
[22-09:07]	[INFO]	 Server listening on address: 127.0.0.1 port: 8000
[22-10:35]	[INFO]	 Total packets received: 2
[22-10:35]	[INFO]	 File received and saved successfully
[22-10:59]	[INFO]	 Server started
[22-10:59]	[INFO]	 Files: 

[22-10:59]	[INFO]	 ..

[22-10:59]	[INFO]	 .

[22-10:59]	[INFO]	 data.txt

[22-10:59]	[INFO]	 Server is listening for connections
[22-10:59]	[INFO]	 Server listening on address: 127.0.0.1 port: 8000
[22-12:17]	[INFO]	 Total packets received: 168
[22-12:17]	[INFO]	 File received and saved successfully
