[23-04:12]	[ERROR]	 Uso: <programa> <host> <porta>
[23-04:24]	[INFO]	 Comandos disponíveis: list, put <filename>, quit

[23-04:24]	[INFO]	 Digite um comando: 
[23-04:27]	[INFO]	 Comandos disponíveis: list, put <filename>, quit

[23-04:27]	[INFO]	 Digite um comando: 
[23-04:47]	[INFO]	 Comandos disponíveis: list, put <filename>, quit

[23-04:47]	[INFO]	 Digite um comando: 
[23-10:38]	[WARN]	 Comando desconhecido
[23-10:38]	[INFO]	 Comandos disponíveis: list, put <filename>, quit

[23-10:38]	[INFO]	 Digite um comando: 
[20-18:25]	[ERROR]	 Uso: <programa> <host> <porta>
[20-21:57]	[ERROR]	 Uso: <programa> <host> <porta>
[21-25:20]	[INFO]	 Comandos disponíveis: list, put <filename>, quit

[21-25:20]	[INFO]	 Digite um comando: 
[21-27:27]	[INFO]	 Comandos disponíveis: list, put <filename>, quit

[21-27:27]	[INFO]	 Digite um comando: 
[21-28:12]	[INFO]	 Comandos disponíveis: list, put <filename>, quit

[21-28:12]	[INFO]	 Digite um comando: 
[21-29:52]	[INFO]	 Comandos disponíveis: list, put <filename>, quit

[21-29:52]	[INFO]	 Digite um comando: 
[21-32:30]	[INFO]	 Comandos disponíveis: list, put <filename>, quit

[21-32:30]	[INFO]	 Digite um comando: 
[21-32:38]	[INFO]	 Comandos disponíveis: list, put <filename>, quit

[21-32:38]	[INFO]	 Digite um comando: 
[21-33:22]	[INFO]	 Connection for PUT lasted approximately 0.00 seconds.
[21-33:22]	[INFO]	 Comandos disponíveis: list, put <filename>, quit

[21-33:22]	[INFO]	 Digite um comando: 
[21-33:26]	[INFO]	 Comandos disponíveis: list, put <filename>, quit

[21-33:26]	[INFO]	 Digite um comando: 
[21-37:22]	[INFO]	 Comandos disponíveis: list, put <filename>, quit

[21-37:22]	[INFO]	 Digite um comando: 
[21-41:19]	[INFO]	 Comandos disponíveis: list, put <filename>, quit

