[00-00:07]	[INFO]	 Connection accepted from 127.0.0.1:52756
[00-04:49]	[INFO]	 Server started on port 8890
[00-04:49]	[INFO]	 Waiting for connections...
[00-04:49]	[INFO]	 Server IP: 0.0.0.0
[00-04:56]	[INFO]	 Connection accepted from 127.0.0.1:44042
[00-05:00]	[INFO]	 Client requested file list.
[00-13:16]	[INFO]	 Bind failed
[00-13:18]	[INFO]	 Bind failed
[00-13:19]	[INFO]	 Server started on port 8892
[00-13:19]	[INFO]	 Waiting for connections...
[00-13:19]	[INFO]	 Server IP: 0.0.0.0
[00-13:19]	[INFO]	 Server IP: 192.168.2.125
[00-13:53]	[INFO]	 Connection accepted from 192.168.2.125:57800
[00-13:55]	[INFO]	 Client requested file list.
[00-42:54]	[INFO]	 Server IP: 192.168.2.125
[00-42:54]	[INFO]	 Bind failed
[00-42:56]	[INFO]	 Server IP: 192.168.2.125
[00-42:56]	[INFO]	 Bind failed
[00-42:58]	[INFO]	 Server IP: 192.168.2.125
[00-42:58]	[INFO]	 Server started on port 8890
[00-42:58]	[INFO]	 Waiting for connections...
[00-43:06]	[INFO]	 Connection accepted from 192.168.2.125:38560
[00-43:10]	[INFO]	 Client requested file list.
[00-43:29]	[INFO]	 Client wants to send file: client.c
[00-43:29]	[INFO]	 Receiving file...
[00-43:29]	[INFO]	 storage/client.c
[00-43:29]	[INFO]	 File does not exist, ready to receive.
[00-43:29]	[INFO]	 file name: client.c
[00-43:29]	[INFO]	 File created!
[00-43:29]	[INFO]	 Block received
[00-43:29]	[INFO]	 Block received
[00-43:29]	[INFO]	 Block received
[00-43:29]	[INFO]	 Block received
[00-43:29]	[INFO]	 Block received
[00-43:29]	[INFO]	 Block received
[00-43:29]	[INFO]	 Block received
[00-43:29]	[INFO]	 File 'client.c' received successfully.
[00-47:40]	[INFO]	 Server IP: 192.168.2.125
[00-47:40]	[INFO]	 Bind failed
[00-47:42]	[INFO]	 Server IP: 192.168.2.125
[00-47:42]	[INFO]	 Server started on port 8891
[00-47:42]	[INFO]	 Waiting for connections...
[00-47:47]	[INFO]	 Connection accepted from 192.168.2.125:51340
[00-47:50]	[INFO]	 Client requested file list.
[00-48:00]	[INFO]	 Client wants to send file: client.c
[00-48:00]	[INFO]	 Receiving file...
[00-48:00]	[INFO]	 storage/client.c
[00-48:00]	[ERROR]	 File already exists on server.
[00-48:11]	[INFO]	 Client wants to send file: server.c
[00-48:11]	[INFO]	 Receiving file...
[00-48:11]	[INFO]	 storage/server.c
[00-48:11]	[INFO]	 File does not exist, ready to receive.
[00-48:11]	[INFO]	 file name: server.c
[00-48:11]	[INFO]	 File created!
[00-48:14]	[INFO]	 File 'server.c' received successfully.
[00-48:24]	[INFO]	 Client disconnected.
[00-49:08]	[INFO]	 Server IP: 192.168.2.125
[00-49:08]	[INFO]	 Server started on port 8891
[00-49:08]	[INFO]	 Waiting for connections...
[00-49:12]	[INFO]	 Connection accepted from 192.168.2.125:58456
[00-49:14]	[INFO]	 Client requested file list.
[00-49:39]	[INFO]	 Client wants to send file: client.c
[00-49:39]	[INFO]	 Receiving file...
[00-49:39]	[INFO]	 storage/client.c
[00-49:39]	[INFO]	 File does not exist, ready to receive.
[00-49:39]	[INFO]	 file name: client.c
[00-49:39]	[INFO]	 File created!
[00-49:50]	[INFO]	 File 'client.c' received successfully.
[00-50:06]	[INFO]	 Server IP: 192.168.2.125
[00-50:06]	[INFO]	 Bind failed
[00-50:12]	[INFO]	 Server IP: 192.168.2.125
[00-50:12]	[INFO]	 Bind failed
